product_id,product_name,category,cost_price
1e9e8ef04dbcff4541ed26657ea517e5,Perfumaria Item #6918,Perfumaria,7.64
3aa071139cb16b67ca9e5dea641aaa2f,Artes Item #6884,Artes,173.6
96bd76ec8810374ed1b65e291975717f,Esporte Lazer Item #1151,Esporte Lazer,55.86
cef67bcfe19066a932b7673e239eb23d,Bebes Item #5048,Bebes,78.61
9dc1a7de274444849c219cff195d0b71,Utilidades Domesticas Item #7735,Utilidades Domesticas,26.53
41d3672d4792049fa1779bb35283ed13,Instrumentos Musicais Item #8476,Instrumentos Musicais,32.11
732bd381ad09e530fe0a5f457d81becb,Cool Stuff Item #2414,Cool Stuff,674.1
2548af3e6e77a690cf3eb6368e9ab61e,Moveis Decoracao Item #2423,Moveis Decoracao,6.99
37cc742be07708b53a98702e77a21a02,Eletrodomesticos Item #5329,Eletrodomesticos,7.28
8c92109888e8cdf9d66dc7e463025574,Brinquedos Item #5129,Brinquedos,58.03
14aa47b7fe5c25522b47b4b29c98dcb9,Cama Mesa Banho Item #1378,Cama Mesa Banho,50.39
03b63c5fc16691530586ae020c345514,Bebes Item #5571,Bebes,167.3
cf55509ea8edaaac1d28fdb16e48fc22,Instrumentos Musicais Item #2314,Instrumentos Musicais,145.07
7bb6f29c2be57716194f96496660c7c2,Moveis Decoracao Item #8318,Moveis Decoracao,41.93
eb31436580a610f202c859463d8c7415,Construcao Ferramentas Seguranca Item #1240,Construcao Ferramentas Seguranca,158.33
3bb7f144022e6732727d8d838a7b13b3,Esporte Lazer Item #2098,Esporte Lazer,18.69
6a2fb4dd53d2cdb88e0432f1284a004c,Perfumaria Item #273,Perfumaria,11.83
a1b71017a84f92fd8da4aeefba108a24,Informatica Acessorios Item #1494,Informatica Acessorios,48.93
a0736b92e52f6cead290e30b578413b6,Moveis Decoracao Item #8582,Moveis Decoracao,34.79
f53103a77d9cf245e579ea37e5ec51f0,Cama Mesa Banho Item #766,Cama Mesa Banho,29.39
1c1890ba1779090cd54008a3c3302921,Moveis Decoracao Item #1579,Moveis Decoracao,78.33
518ef5de2c2b3a255e326a4594ba15d9,Cama Mesa Banho Item #8710,Cama Mesa Banho,101.5
e3e020af31d4d89d2602272b315c3f6e,Beleza Saude Item #2491,Beleza Saude,20.93
8b41fbc2b984a12030090112324d1bc4,Bebes Item #440,Bebes,34.23
d03bd02af9fff4b98f1c972315e5e9ef,Moveis Decoracao Item #6297,Moveis Decoracao,55.15
8ba4f2a4ae695d26e5626c1bf710975e,Utilidades Domesticas Item #1696,Utilidades Domesticas,48.93
f6574524b07d5bb753bab6f35abe2d06,Malas Acessorios Item #6631,Malas Acessorios,244.93
c78b767da00efb70c1bcccab87c28cd5,Informatica Acessorios Item #865,Informatica Acessorios,25.55
a0253d43394dd4da9a5d7b1f546f1a32,Informatica Acessorios Item #7897,Informatica Acessorios,145.6
051b9ff13dd55c0a6655a15ff296f80d,Esporte Lazer Item #2648,Esporte Lazer,199.5
47859fca9dd7485cbd93c3e8993bb74f,Cama Mesa Banho Item #6630,Cama Mesa Banho,29.39
e1d1d22e9f8122a4ec1533b032c12562,Ferramentas Jardim Item #2760,Ferramentas Jardim,139.3
20e37962088a4061d3578def47a8648b,Moveis Decoracao Item #4039,Moveis Decoracao,45.43
1eba879220bd0981a0e2fbab499ed4e1,Moveis Escritorio Item #9042,Moveis Escritorio,58.62
ce5b91848b91118daffb3af53b747475,Esporte Lazer Item #7023,Esporte Lazer,13.93
5370b82a213393979691c98074265584,Bebes Item #1114,Bebes,72.36
b8dac5113b06a97e64943234522572b9,Automotivo Item #3032,Automotivo,80.5
750cf819d127191920eda79a4b6fb479,Eletronicos Item #8334,Eletronicos,16.8
e6af694343b45b56304ad91974a110b9,Utilidades Domesticas Item #4745,Utilidades Domesticas,55.99
680874c570dad71c0a2844cfbf417054,Moveis Decoracao Item #9988,Moveis Decoracao,27.3
8b3a9476f74f5297f7ff0ec6d95fe1ea,Moveis Decoracao Item #7565,Moveis Decoracao,97.93
1c6fb703c624b381a20f21f757694866,Brinquedos Item #9411,Brinquedos,68.0
db46052aed7dff59ba38cf2fe29b87f9,Cama Mesa Banho Item #6009,Cama Mesa Banho,75.32
b864b103180d5a6a3f830e67f93e8735,Bebes Item #3695,Bebes,58.73
7a8dac4aaa16bc642e4df33adcf03303,Cool Stuff Item #140,Cool Stuff,328.99
83b9bc6aae6f527ff6aafb9e01d6cbf3,Brinquedos Item #150,Brinquedos,90.99
5f504b3a1c75b73d6151be81eb05bdc9,Cool Stuff Item #789,Cool Stuff,419.27
bbf920aa6ac72007a726e6f419156f8f,Moveis Decoracao Item #2926,Moveis Decoracao,27.93
c3b7e4d83e530c27a8e6368296aece48,Moveis Decoracao Item #3531,Moveis Decoracao,103.6
c5d8079278e912d7e3b6beb48ecb56e8,Beleza Saude Item #1860,Beleza Saude,65.03
5eaa343860dc445b3fd43d1b682809fd,Esporte Lazer Item #890,Esporte Lazer,763.0
b5cfb1d3c5e435a7a52227e08f220ee7,Cool Stuff Item #5946,Cool Stuff,34.93
334479e94cba98064050db1c9636e244,Automotivo Item #5480,Automotivo,41.93
3fcd8dfe610c62edfb51de2630cd9ef4,Bebes Item #3953,Bebes,160.3
4c8056caed5757810b9a68b83c3759e6,Malas Acessorios Item #727,Malas Acessorios,118.93
30e77af9e7759bbaa0305d2fbc605dc4,Fashion Calcados Item #8257,Fashion Calcados,244.93
92bf5d2084dfbcb57d9db7838bac5cd0,Telefonia Item #8313,Telefonia,18.19
fdeb34a9f03fea7c3937dd62d1d0287e,Cool Stuff Item #8259,Cool Stuff,37.73
1065dbb6b0bf03daaedab1236979e296,Papelaria Item #3530,Papelaria,118.3
0d826eba8e0a2ae3bca9e3a947dd756d,Brinquedos Item #7894,Brinquedos,104.3
f8f6fd145cc00519283cf3100477b2b3,Esporte Lazer Item #730,Esporte Lazer,85.31
4e04ffb7dd3739ecfc37de8927dd586c,Papelaria Item #2982,Papelaria,41.3
36555a2f528d7b2a255c504191445d39,Beleza Saude Item #9854,Beleza Saude,20.93
22937a73f92a33040ab4e2540355a5d8,Fashion Bolsas E Acessorios Item #5140,Fashion Bolsas E Acessorios,55.93
dc21247da0290904ffbbcd5953c76f95,Papelaria Item #8686,Papelaria,40.6
9020ce7adcc384b2899ae87ddc54767b,Papelaria Item #240,Papelaria,95.2
bfc1d1c62b1f7f401d8d9dda962bb870,Esporte Lazer Item #1985,Esporte Lazer,69.93
6fef6d87bb6c2eb11d57a967209219a8,Ferramentas Jardim Item #2441,Ferramentas Jardim,5.45
1e5428c428e0f783acd6e3d94ba4ee2a,Pcs Item #1963,Pcs,419.3
94080f9219044d897195e2be145945dc,Automotivo Item #6835,Automotivo,125.23
d0389f20b3d11de54e1e4561df147683,Casa Construcao Item #5037,Casa Construcao,316.82
3e9b58f1436820c248d3f98d7229bb14,Relogios Presentes Item #6330,Relogios Presentes,69.93
575c38b4c88fc7b35ef22fc8312bfe1b,Cool Stuff Item #6629,Cool Stuff,97.23
556702ebb73d3786a852ad3d5a8ad268,Construcao Ferramentas Construcao Item #9985,Construcao Ferramentas Construcao,118.3
a3a03c131926ec14d4c9f3ef03016b24,Pet Shop Item #451,Pet Shop,41.3
e586ebb6022265ae1eea38f46ffe3ead,Beleza Saude Item #5685,Beleza Saude,45.43
278b3c6462e86b4556b99989513ddf73,Eletroportateis Item #8339,Eletroportateis,20.99
0d009643171aee696f4733340bc2fdd0,Perfumaria Item #3907,Perfumaria,227.94
be1be330cf34043d1c40d6114cbd11b5,Relogios Presentes Item #1898,Relogios Presentes,104.3
07f01b6fcacc1b187a71e5074199db2d,Agro Industria E Comercio Item #4777,Agro Industria E Comercio,39.9
75b4372e69a42f8ae1d908c076f547b2,Beleza Saude Item #2119,Beleza Saude,172.01
3569d4374a919941a50f57371b1dc93d,Beleza Saude Item #8275,Beleza Saude,69.93
a3c95dc653d9a279b160bc0179385ed1,Cama Mesa Banho Item #9991,Cama Mesa Banho,126.0
